date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.4,10.5,12,1.3,,254,16.7,37,1021.4,
2022-01-02,10.2,9.1,11.3,2.1,,218,18.2,44.5,1012.9,
2022-01-03,9.1,7.5,10.2,3.8,,248,24.1,51.8,1006.5,
2022-01-04,7.2,5.5,8.2,2.9,,231,12.1,27.8,996.7,
2022-01-05,3.9,3.2,4.9,1.7,,251,21.6,48.2,997.8,
2022-01-06,0.8,-0.9,3,0.1,,273,13.9,35.2,1013.6,
2022-01-07,0.9,-1.1,2.6,0.9,,198,14.8,33.3,1013.9,
2022-01-08,1.7,0.7,3.4,1.2,,210,13.7,27.8,1008.6,
2022-01-09,1.5,0.1,2.7,0.8,,150,14.7,33.3,998.9,
2022-01-10,2,0.3,2.8,0.1,,17,6.7,18.5,1019.5,
2022-01-11,-1.3,-2.3,0.1,0,,144,8.9,18.5,1035.4,
2022-01-12,0.8,-1.7,2.9,0,,234,9.7,22.2,1036.5,
2022-01-13,4.7,3.2,5.9,0,,266,21.1,38.9,1034.3,
2022-01-14,5.6,3.8,6.9,0,,279,20.1,42.6,1029.8,
2022-01-15,1.7,0.5,3.1,0,,259,8.2,18.5,1029.5,
2022-01-16,1.9,0.1,4.2,0.5,,227,15.1,42.6,1020.9,
2022-01-17,4.4,0.7,5.9,2,,287,23.8,59.3,1021.6,
2022-01-18,1.7,-0.9,4.1,0,,272,10.4,20.4,1034.7,
2022-01-19,3.4,2.1,4.7,0.3,,232,15.9,44.5,1023.2,
2022-01-20,1.5,-0.7,3.4,1.3,,289,24.5,50,1015.5,
2022-01-21,-0.4,-2.8,1.9,0.4,,281,16.4,35.2,1024.3,
2022-01-22,2.7,1.8,3.5,1.4,,300,8.2,22.2,1027.1,
2022-01-23,4.9,3.1,5.8,0.3,,291,8.3,18.5,1032.5,
2022-01-24,5.2,4.1,5.8,0,,270,8.1,16.7,1034.7,
2022-01-25,3.8,3.3,4.2,0.1,,268,11.9,25.9,1032.1,
2022-01-26,3.4,2.6,4.1,0.6,,264,18.8,38.9,1027.7,
2022-01-27,4.5,3.2,5.7,2,,255,29.9,53.7,1016.5,
2022-01-28,4.4,2.2,6,0.1,,286,23.4,59.3,1022.8,
2022-01-29,5.5,2.5,7.9,7.7,,247,29.1,68.5,1016.4,
2022-01-30,5.8,3.2,7.7,1,,284,36.4,75.9,1013.1,
2022-01-31,2.3,0.7,3.7,0.9,,248,10,31.5,1008.3,
2022-02-01,2.5,0.8,4.4,4.7,,265,22.2,51.8,1006.5,
2022-02-02,4.3,2,5.6,1.3,,291,25.3,57.4,1007.9,
2022-02-03,4.3,1.5,6.6,3.6,,225,12.9,25.9,1015.7,
2022-02-04,6.7,5.5,8.2,2,,228,18.9,46.3,1008,
2022-02-05,4.8,3.8,6.3,1.1,,256,28.2,51.8,1012.8,
2022-02-06,5.7,4.2,7.1,7.7,,235,30.9,55.5,1000.1,
2022-02-07,4.4,3.1,6.5,2,,285,24.9,51.8,1008.7,
2022-02-08,6.2,3.3,8.4,2.2,,256,23.3,48.2,1021.5,
2022-02-09,8.7,8,9.6,1,,250,23.5,42.6,1022.4,
2022-02-10,7.2,4.8,8.6,1.7,,250,13.2,27.8,1018.3,
2022-02-11,3.6,0.9,5,0.2,,275,12.4,29.6,1022.1,
2022-02-12,1,-2.1,4.7,0,,211,11.8,27.8,1031.2,
2022-02-13,3.1,-0.6,7.3,0,,184,15.7,33.3,1017.7,
2022-02-14,7.3,3.4,12,0,,182,17.6,37,1006.5,
2022-02-15,7.2,5.4,9.3,0,,223,15.3,35.2,1009,
2022-02-16,7.7,5.2,11.3,7,,209,27.5,55.5,997.8,
2022-02-17,8.2,5.2,11.6,8,,266,39.4,77.8,991.5,
2022-02-18,6.5,3.9,9.4,2.8,,229,27.1,68.5,1000.4,
2022-02-19,5.9,4,7.4,0.9,,250,38.2,81.5,1003.4,
2022-02-20,5.3,3.2,8.5,7.7,,225,23.2,55.5,1003.8,
2022-02-21,6.3,3.4,8.8,6.2,,248,33.1,66.7,993.2,
2022-02-22,5.5,3.7,7.2,1.4,,266,22.8,44.5,1009.8,
2022-02-23,6.6,4.4,9.3,1,,263,22.8,51.8,1019.3,
2022-02-24,6.6,2.4,10.6,0.9,,203,19.5,48.2,1012.3,
2022-02-25,4.8,3.2,6.7,2,,253,27.3,53.7,1015.6,
2022-02-26,4.3,1.7,6.8,0.1,,339,11.5,31.5,1031.2,
2022-02-27,2.3,-1.1,6.1,0,,85,7.6,20.4,1037.7,
2022-02-28,2,-1.3,6.4,0,,108,9.6,25.9,1036.8,
2022-03-01,2.4,-2.2,7.6,0,,150,11.8,25.9,1033.3,
2022-03-02,2.8,-1.3,7.7,0,,98,5.2,16.7,1026.8,
2022-03-03,1.1,-2.7,5.3,0,,6,6.9,22.2,1022.3,
2022-03-04,1.7,-0.5,4.4,0,,35,7.9,24.1,1024.6,
2022-03-05,1.3,-1.3,3.9,0,,55,6.8,20.4,1025.8,
2022-03-06,0,-2.4,2.2,0,,2,6.5,20.4,1026.3,
2022-03-07,2.7,-1.4,7.3,0,,328,9,27.8,1026.5,
2022-03-08,3.7,-1.7,9.2,0,,354,3.9,14.8,1026.7,
2022-03-09,4.8,-1.2,10.7,0,,347,5,18.5,1027,
2022-03-10,4.1,-0.3,8.4,0,,106,14.8,37,1031,
2022-03-11,3,-1.2,7.7,0,,119,22.4,46.3,1029.7,
2022-03-12,5.2,-0.6,11.4,0,,126,18.9,38.9,1025.9,
2022-03-13,6.7,0.5,13.1,0,,116,18.2,40.8,1022.9,
2022-03-14,7.3,2.4,12.2,2,,166,14.7,31.5,1025.5,
2022-03-15,8.8,5.5,12.3,0.6,,221,8,22.2,1027.7,
2022-03-16,8,4.3,12.1,0,,53,8.7,20.4,1028.2,
2022-03-17,9.3,4.2,14.7,0,,136,12.4,31.5,1029.9,
2022-03-18,8.1,3.8,12.4,0,,356,8.8,24.1,1041.7,
2022-03-19,5.9,1.4,9.8,0,,52,14,40.8,1044.3,
2022-03-20,6.9,1.2,12.4,0,,105,20.2,44.5,1039.4,
2022-03-21,8.2,2.6,13.6,0,,129,16.3,37,1036.9,
2022-03-22,10,2.4,17,0,,127,10.1,25.9,1034.9,
2022-03-23,10.8,3.4,18.4,0,,40,6.6,22.2,1031.5,
2022-03-24,9,1.5,16.1,0,,27,5.4,18.5,1030.1,
2022-03-25,9.9,2.5,16.2,0,,294,6.5,25.9,1029.4,
2022-03-26,9,4.9,12.3,0,,301,11.1,31.5,1029,
2022-03-27,,,,,,,,,,
2022-03-28,9.6,4.7,15.1,0,,278,11.3,33.3,1021.8,
2022-03-29,7.3,4.8,10.6,0,,290,13.3,35.2,1011.6,
2022-03-30,4.9,1.9,7.5,0,,20,6.9,24.1,1006.3,
2022-03-31,4,1.1,6.4,0,,77,19.5,44.5,1004.8,
2022-04-01,3.6,1,6.9,0.4,,49,20.5,46.3,1006.9,
2022-04-02,2.4,-0.1,4.8,0,,22,16.8,40.8,1014.3,
2022-04-03,1.7,-3.5,6.1,0,,289,13.1,37,1018.5,
2022-04-04,4,2,6.4,4.8,,239,29.4,68.5,1007.6,
2022-04-05,6.1,3.9,7.7,4.2,,267,22,53.7,1000.9,
2022-04-06,10,6.3,13.3,4.5,,241,22.7,48.2,999.5,
2022-04-07,10.5,8.4,12.6,4,,221,28.4,59.3,988,
2022-04-08,7.2,5.1,9.5,3.9,,260,28,59.3,992.7,
2022-04-09,5.5,2.5,8.5,1,,272,20.8,55.5,1002.3,
2022-04-10,4.8,2.3,7.3,1.4,,273,22,48.2,1014.8,
2022-04-11,6.9,2.2,11.3,0,,274,12.7,31.5,1019.8,
2022-04-12,9.6,2.5,16.1,0,,108,12.2,31.5,1018.9,
2022-04-13,14.5,7.3,21.2,0,,133,13.4,31.5,1017.4,
2022-04-14,12.6,10.2,14.6,4.7,,297,7.4,24.1,1019.1,
2022-04-15,8.5,5.8,10.4,1.6,,320,13.4,31.5,1024.2,
2022-04-16,6.7,1.8,11.6,0,,26,11.7,31.5,1034.1,
2022-04-17,8,1.6,14.2,0,,13,7,25.9,1030.9,
2022-04-18,9.3,2.6,15,0,,31,7.4,25.9,1021.5,
2022-04-19,8.8,4.2,12.4,0,,34,12.3,37,1016.3,
2022-04-20,9.2,4.8,13.3,0.4,,2,10.1,33.3,1017,
2022-04-21,9.7,6.6,12.8,1.8,,43,10.2,27.8,1014.1,
2022-04-22,10.8,6.1,14.7,0,,61,13,37,1011.2,
2022-04-23,12,5.8,16.9,0,,71,13.1,37,1011.1,
2022-04-24,11.3,6.5,15.6,0,,52,15.1,38.9,1006,
2022-04-25,9.7,6,13.5,0,,25,12.1,29.6,1011.1,
2022-04-26,10.8,4.3,16,0,,56,6.2,18.5,1016.9,
2022-04-27,11.5,5.5,15.8,0,,337,8.7,27.8,1023.5,
2022-04-28,11.4,5.5,16.3,0,,329,7.5,27.8,1028.1,
2022-04-29,12.5,4.6,18.6,0,,333,5,20.4,1027.9,
2022-04-30,13.5,7.2,19,0,,9,6.6,24.1,1023.3,
2022-05-01,11.9,7.4,15.6,0,,11,8.2,24.1,1022.4,
2022-05-02,13,7.6,17.6,0,,1,6.8,25.9,1019.7,
2022-05-03,12.5,6.6,16.9,0,,326,8.2,29.6,1017,
2022-05-04,13.8,7.5,18.9,0,,352,5.5,20.4,1017.9,
2022-05-05,13.7,10.2,17.3,0.9,,336,9.1,27.8,1020.1,
2022-05-06,13.7,7,18.6,0,,308,6.3,24.1,1024.2,
2022-05-07,15.8,9.8,20.6,0,,268,8.3,29.6,1022.2,
2022-05-08,14.2,9.4,18.6,0,,334,9.7,29.6,1025.3,
2022-05-09,14.6,7.2,21,0,,81,8.8,25.9,1027.8,
2022-05-10,19.1,10.6,26.1,0,,176,12,35.2,1019.5,
2022-05-11,21.2,16.1,27,0.2,,235,13.6,48.2,1011,
2022-05-12,17.2,14.1,19.4,0,,272,18.4,46.3,1013.6,
2022-05-13,14.6,9.9,18,0,,267,14.3,50,1016.8,
2022-05-14,15.2,10,19.4,0,,277,16.4,44.5,1018.8,
2022-05-15,15.1,7.9,20.9,0,,328,6.4,20.4,1021.7,
2022-05-16,18,10.2,24.5,0,,88,11.8,31.5,1018.8,
2022-05-17,16.5,13.5,19.5,3.2,,15,7,22.2,1019.9,
2022-05-18,18.4,11.5,24.9,0,,129,15.1,35.2,1024.4,
2022-05-19,23,16.1,29.2,0,,176,13.4,37,1020.2,
2022-05-20,20.5,17.2,24.1,3.1,,256,14.1,35.2,1017.5,
2022-05-21,15.6,12.8,17.9,3.1,,276,26.5,63,1015.4,
2022-05-22,14.4,9.8,18.8,0,,301,12,27.8,1016.7,
2022-05-23,17.2,10.4,22.6,0,,116,16.7,40.8,1009.3,
2022-05-24,18.4,15.7,21.5,4,,225,17.8,38.9,1004.6,
2022-05-25,16,11.6,19.9,0,,261,12,35.2,1013.5,
2022-05-26,16.5,12.2,19.6,0,,260,19.2,53.7,1015.8,
2022-05-27,15.2,11.2,17.7,4.4,,277,23,50,1013.5,
2022-05-28,12.1,8.4,16.1,0.6,,284,25.4,50,1012.3,
2022-05-29,11.6,8.2,14.9,0.7,,260,10.8,38.9,1011.5,
2022-05-30,11.6,6,15.7,0.6,,260,10.4,31.5,1011.8,
2022-05-31,13.4,6,18.4,0.6,,225,5.9,31.5,1014.7,
2022-06-01,13.7,9.1,18.5,5,,246,9.9,31.5,1013.1,
2022-06-02,13.3,8.6,17.9,0.2,,267,13.1,,1019.3,
2022-06-03,16.4,7.4,23,0,,101,7.5,,1020.9,
2022-06-04,18.3,13.6,23.3,0,,35,13.4,,1019.6,
2022-06-05,18.6,8.8,26.5,0,,78,11.5,,1018.7,
2022-06-06,20.8,16.3,25.4,2.7,,220,11.7,,1013.5,
2022-06-07,18.6,12.9,23.6,0,,240,9.6,,1012.3,
2022-06-08,19.4,12.6,24.5,0.9,,217,7.8,,1008.9,
2022-06-09,18.7,15.1,23.6,0,,279,10.8,,1010.1,
2022-06-10,18.8,12.6,24.6,0,,291,12.1,,1020.4,
2022-06-11,21.4,15.5,26,0.4,,256,9.9,,1020.9,
2022-06-12,20.5,14.5,25.4,0.1,,287,10.6,,1019.3,
2022-06-13,16.4,12.7,19.6,0.9,,305,15.4,,1017.5,
2022-06-14,14.6,9.8,18.8,0,,293,13.3,33.3,1021.8,
2022-06-15,18.9,10.7,25.3,0,,81,6.4,22.2,1019.8,
2022-06-16,18.8,14.2,22.6,0,,1,11.4,33.3,1018.8,
2022-06-17,19.1,12.6,24.8,0,,294,9.3,29.6,1023.1,
2022-06-18,25.5,18,32.1,0,,234,13.1,40.8,1016.2,
2022-06-19,25,19.4,31.9,10.5,,349,14.8,42.6,1008.7,
2022-06-20,15.6,13.1,18.6,3.9,,344,10.1,33.3,1011.9,
2022-06-21,17.3,11.1,23.5,0,,294,14.3,33.3,1013.8,
2022-06-22,20.7,13.1,26.7,0,,327,7,24.1,1012.6,
2022-06-23,22.9,14.9,29.6,0,,65,8.8,25.9,1014.1,
2022-06-24,25.5,19.1,31.8,0.4,,133,16.2,44.5,1009.4,
2022-06-25,22.6,19.5,25.2,9.9,,226,6.8,20.4,1010.9,
2022-06-26,25,18.8,30.6,0.1,,139,7.4,24.1,1014,
2022-06-27,27.1,20.9,33.5,0,,141,13,37,1013.2,
2022-06-28,21.3,18,25,6.8,,304,12.5,31.5,1019.8,
2022-06-29,20.9,16.3,24.5,0,,72,11.1,27.8,1017.6,
2022-06-30,22.6,18.2,26.9,0.1,,73,8.5,20.4,1013.2,
2022-07-01,20.6,15.8,24.2,5.7,,274,13.1,38.9,1014.3,
2022-07-02,20,13.1,26.1,0.3,,238,9.8,25.9,1022.8,
2022-07-03,23.5,16.7,29.4,0,,154,11.8,33.3,1018,
