date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,12.2,4.4,13.5,0,0,254,15.9,,1023.6,
2022-01-02,9,4,14.9,1,0,207,12.4,,1016,
2022-01-03,10.1,6.8,12.7,6.1,0,257,22.8,,1009.8,
2022-01-04,7,4.9,8.8,11.3,0,240,10.7,,998.5,
2022-01-05,4.2,2,6.9,7.7,0,254,19.1,,1000.7,
2022-01-06,1.1,-2.6,4.1,0,0,272,15.8,,1015,
2022-01-07,-0.1,-3.9,3.3,0.3,0,187,10.1,,1016.5,
2022-01-08,0.2,-2.4,1.5,2.4,0,203,7.2,,1010.5,
2022-01-09,1.8,-1.1,3.8,0.5,0,182,17.6,,1000.5,
2022-01-10,3.7,1.8,5.1,0.1,0,318,10.1,,1019.4,
2022-01-11,-0.8,-2.6,1.8,0,0,88,4,,1034.9,
2022-01-12,0.8,-3.3,5.1,0,0,248,8.4,,1037.8,
2022-01-13,4.9,1,7.7,0,0,263,15.7,,1036.6,
2022-01-14,3.1,0.5,4.6,0,0,276,17.8,,1031.8,
2022-01-15,2.9,-3.9,4.9,0,0,275,9,,1029.9,
2022-01-16,0.9,-3.9,4.9,0,0,238,13.5,,1023.1,
2022-01-17,3.9,1.3,5.8,4.4,0,283,24.8,,1023.7,
2022-01-18,3.1,0.9,4.4,0,0,277,11,,1036,
2022-01-19,3.2,-1.8,6.2,0.1,0,201,10,,1025.5,
2022-01-20,1.9,-0.5,4.4,1.3,0,288,25.5,,1017.2,
2022-01-21,0.3,-2,2.6,5.1,0,282,19.6,,1025.6,
2022-01-22,3.1,1.9,4.4,2.6,0,304,13.5,,1027.1,
2022-01-23,4.5,2.5,5.6,0.3,0,289,10.4,,1032.7,
2022-01-24,5.1,3.6,6.5,0,0,271,3.3,,1034.8,
2022-01-25,3.5,2.4,5.3,0,0,279,10.4,,1032.7,
2022-01-26,1.9,0.8,2.5,0,0,269,14.1,,1029.6,
2022-01-27,3.5,1.7,5.5,0.8,0,256,23.9,,1020.7,
